id,description,country,letter,storage id
570,Hertog Jan,Netherlands,H,330
571,Altstadthof,Germany,A,297
572,Hasseroder,Germany,H,319
573,Hluboka,Czechia,H,318
574,Hangar,Czechia,H,317
575,Jever,Germany,J,355
576,Jezek,Czechia,J,354
577,Jezek,Czechia,J,353
578,Kozel,Czechia,K,389
579,Kozel,Czechia,K,388
580,Kozel,Czechia,K,387
581,Kozel,Czechia,K,385
582,Kozel,Czechia,K,386
583,Kozel,Czechia,K,384
584,Kozel,Czechia,K,383
585,Kozel,Czechia,K,382
586,Cesky Krumlov,Czechia,C,371
587,Klaster,Czechia,K,370
588,Konrad,Czechia,K,396
589,Konrad,Czechia,K,395
590,Krusovice,Czechia,K,399
591,Krusovice,Czechia,K,398
592,Krusovice,Czechia,K,397
593,Kolcavka,Czechia,K,376
594,Kolcavka,Czechia,K,375
595,Kolcavka,Czechia,K,374
596,Kolcavka,Czechia,K,373
597,Kral Sumavy,Czechia,K,405
598,Kocouri,Czechia,K,404
599,Krakonos,Czechia,K,406
600,Kynspersky,Czechia,K,403
601,Muflon,Czechia,M,531
602,Krkonossky Medved,Czechia,K,527
603,Mazak,Czechia,M,526
604,Mazak,Czechia,M,525
605,Malastrana,Czechia,M,524
606,Matuska,Czechia,M,523
607,Manifesto,Czechia,M,516
608,Policce,Czechia,P,508
609,Klenot,Czechia,K,507
610,Mordyr,Czechia,M,497
611,Muflon,Czechia,M,529
612,Never Enough,Czechia,N,546
613,Neratov,Czechia,N,545
614,Dalesice,Czechia,D,553
615,Parnik,Czechia,P,570
616,Parnik,Czechia,P,569
617,Pilsner Urquell,Czechia,P,633
618,Pilsner Urquell,Czechia,P,630
619,Pilsner Urquell,Czechia,P,631
620,Pilsner Urquell,Czechia,P,632
621,Pilsner Urquell,Czechia,P,629
622,Pilsner Urquell,Czechia,P,628
623,Pilsner Urquell,Czechia,P,626
624,Pilsner Urquell,Czechia,P,625
625,Pilsner Urquell,Czechia,P,610
626,Pilsner Urquell,Czechia,P,624
627,Platan,Czechia,P,589
628,Platan,Czechia,P,590
629,Porter,Czechia,P,588
630,Porter,Czechia,P,587
631,Porter,Czechia,P,586
632,Porter,Czechia,P,585
633,Primator,Czechia,P,577
634,Primator,Czechia,P,576
635,Pardubicky,Czechia,P,599
636,Pardubicky,Czechia,P,598
637,Paulaner,Czechia,P,596
638,Paintball Hall,Czechia,P,595
639,Preska,Czechia,P,594
640,Pilsner Urquell,Czechia,P,609
641,Pork and Beer,Czechia,P,593
642,Pork and Beer,Czechia,P,592
643,Pork and Beer,Czechia,P,591
644,Pilsner Urquell,Czechia,P,618
645,Pilsner Urquell,Czechia,P,617
646,Prazacka,Czechia,P,572
647,Poutnik Pelhrimov,Czechia,P,582
648,Jazz Republic,Czechia,J,362
649,Omer,Czechia,O,564
650,Omer,Czechia,O,563
651,Quest Cafe,Czechia,Q,641
652,Romano Pizzeria,Czechia,R,671
653,Radegast,Czechia,R,677
654,Radeberger,Germany,R,688
655,Radous,Czechia,R,684
656,Rychtar,Czechia,R,658
657,Rychtar,Czechia,R,657
658,Raven,Czechia,R,661
659,Revnice,Czechia,R,660
660,Rychtar,Czechia,R,659
661,Staropramen,Czechia,S,735
662,Staropramen,Czechia,S,737
663,Staropramen,Czechia,S,736
664,Staropramen,Czechia,S,734
665,Staropramen,Czechia,S,760
666,Stankuv,Czechia,S,746
667,Kout na Sumave,Czechia,K,415
668,Sagres,Portugal,S,745
669,Super Bock,Portugal,S,743
670,Falkenstejn,Czechia,F,742
671,Stojaka,Czechia,S,741
672,Stouterik,Belgium,S,759
673,Stiegl,Austria,S,757
674,Scala,Czechia,S,756
675,Svijany,Czechia,S,783
676,Svijany,Czechia,S,784
677,Svijany,Czechia,S,777
678,Svijany,Czechia,S,775
679,Svijany,Czechia,S,776
680,Svijany,Czechia,S,774
681,Svijany,Czechia,S,773
682,Svijany,Czechia,S,771
683,Svijany,Czechia,S,772
684,Svijany,Czechia,S,770
685,Svijany,Czechia,S,769
686,Svijany,Czechia,S,767
687,Svijany,Czechia,S,768
688,Super Bock,Portugal,S,744
689,St Feuillien,Belgium,S,732
690,Tyskie,Poland,T,825
691,Tyskie,Poland,T,826
692,Tyskie,Poland,T,827
693,Uneticky,Czechia,U,891
694,Uneticky,Czechia,U,890
695,Uneticky,Czechia,U,889
696,Utopia Cajovna,Czechia,U,912
697,Uneticky,Czechia,U,892
698,Uneticky,Czechia,U,893
699,Volt Jablonecky,Czechia,V,944
700,Volt Jablonecky,Czechia,V,943
701,Veldensteiner,Germany,V,952
702,Veldensteiner,Germany,V,951
703,Vegalite,Czechia,V,954
704,Vinohradsky,Czechia,V,953
705,Visoky Chlumec,Czechia,V,956
706,Victor,Czechia,V,955
707,Zipfer,Germany,Z,939
708,Zatec,Czechia,Z,941
709,Zichovec,Czechia,Z,923
710,Zlatopramen,Czechia,Z,917
711,Zlaty Bazant,Slovakia,Z,918
712,,Czechia,,820
713,,Czechia,,817
714,,Czechia,,819
715,,Czechia,,818
716,Beirao,Portugal,B,SS
717,Pilsner Urquell,Czechia,P,SS
718,Pilsner Urquell,Czechia,P,SS
719,Pilsner Urquell,Czechia,P,SS
720,Breznak,Czechia,B,SS
721,Beznoska,Czechia,B,SS
722,Zalozna,Czechia,Z,SS
723,Zalozna,Czechia,Z,SS
724,Karlicek,Czechia,K,SS
725,Lasagneria,Czechia,L,SS
726,Karlicek,Czechia,K,SS
727,,,,SS
728,Old Cock,Czechia,O,566
729,Old Cock,Czechia,O,565
730,Mangy Moose,USA,M,518
731,Cesky Krumlov,Czechia,C,189
732,Cesky Krumlov,Czechia,C,191
733,Cesky Krumlov,Czechia,C,190
734,Laplace,Czechia,L,718
735,Lazensky,Czechia,L,456
736,,Belgium,,859
737,,Czechia,,816
738,Kofola,Czechia,K,490
739,Kofola,Czechia,K,491
740,Kofola,Czechia,K,489
741,Kozel,Czechia,K,461
742,Kozel,Czechia,K,462
743,Kozel,Czechia,K,463
744,Kozel,Czechia,K,464
745,Kozel,Czechia,K,460
746,Krusovice,Czechia,K,458
747,Krusovice,Czechia,K,459
748,Konrad,Czechia,K,457
749,Kocouri,Czechia,K,472
750,Kreuzberger,Germany,K,471
751,Kbely,Czechia,K,470
752,Karlovarske,Czechia,K,469
753,Kahan,Czechia,K,468
754,Knir,Czechia,K,467
755,Kasteel,Belgium,K,480
756,Kamenice,Czechia,K,466
757,Kamenice,Czechia,K,465
758,Krusnohor,Czechia,K,479
759,Wieselburg,Austria,W,478
760,Kornuit,Netherlands,K,477
761,Krumauer,Czechia,K,476
762,Krusovice,Slovakia,K,475
763,Kelt,Czechia,K,474
764,Tovarna,Czechia,T,473
765,Kutna Hora,Czechia,K,488
766,Kutna Hora,Czechia,K,486
767,Kutna Hora,Czechia,K,487
768,Kutna Hora,Czechia,K,485
769,Kairos,Brazil,K,482
770,Kasteel,Belgium,K,484
771,Kwak,Belgium,K,483
772,Kujebak,Czechia,K,481
773,Bird,Netherlands,B,107
774,Brew Dog,Czechia,B,108
775,Baptist,Belgium,B,44
776,Baran,Czechia,B,110
777,Berliner Berg,Germany,B,111
778,Beers & Cheers,Czechia,B,113
779,Bubenec,Czechia,B,42
780,Klubovna,Czechia,K,41
781,Bulldog,Netherlands,B,143
782,Brothers in Law,Netherlands,B,144
783,Beskydsky,Czechia,B,142
784,Beskydsky,Czechia,B,141
785,Beskydsky,Czechia,B,140
786,Budvar,Czechia,B,139
787,Budvar,Czechia,B,138
788,Budvar,Czechia,B,137
789,Budvar,Czechia,B,136
790,Bakalar,Czechia,B,135
