path,phash,whash
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00064_back.webp,bfd3916f404c44b5,7caf8f818181877e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00064_front.webp,80c0d4c7513fd53f,7e7f0d01017f074e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00065_back.webp,85c7597954d66178,607e666643437f46
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00065_front.webp,9557457954c6607d,407e66664a437f1e
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00066_back.webp,95f558c2717c435c,027e7e0e7f7e1c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00066_front.webp,c5d57016c2396db6,66fe7e7e7e380000
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00067_back.webp,91425e2f7a872d6c,007c7e665e7e3e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00067_front.webp,9595524b4a2f2dad,187e3e3f3f1e0e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00068_back.webp,94965b5a6e21695e,003e3e7f7e7e1c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00068_front.webp,95075a9f2adc6d30,187e4643477e7e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00069_back.webp,d6a649d1675a9e88,385e3c3e7e3e5810
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00069_front.webp,d4b649994f5a0e69,187e3c3e7e3e5810
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00070_back.webp,96c64989076f9e8d,185a3c3e7f3c5a18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00070_front.webp,91685e1f3aa76932,187e42cb4b7e3e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00071_back.webp,854e5bb46a4338db,183c3c7b5f5a3e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00071_front.webp,95694a762fe06c0f,187e6e6766265e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00072_back.webp,917644dd519c549f,7c665642067e7e70
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00072_front.webp,95d86c6be1a45696,003c7e7e7e3c3e02
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00073_back.webp,80d9753751b755a4,007e7e7e7e0e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00073_front.webp,9578c197409f5597,7e0101013f3f3f7c
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00074_back.webp,80cb553f41b545b7,007e7e7e3e1e3e00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00074_front.webp,9578d4974097459f,7e8181819fbebf20
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00075_back.webp,95c5c587683f41ce,787e7e00007f7e58
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00075_front.webp,94d97825d7e0251f,7efefefe3e000000
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00076_back.webp,95c84ea23a676d1e,181e1e3f1f7e2e08
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00076_front.webp,91d94e666e393994,183e5e5e7e462e18
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00077_back.webp,91b44eca2b613d6d,003e7e7e7e7c3c00
C:/Users/ASUS GAMING/Documents/GitHub/Sberatele_Podtacku/images/00077_front.webp,91ce4e334a4c3f39,187e7e7f6f660200
